step,train_loss,eval_mae
0,67.21538544,0.29380012
1,38.74773788,0.29380012
2,31.15610504,0.29380012
3,27.31267929,0.29380012
4,21.09986305,0.29380012
5,15.24514389,0.29380012
6,11.92373657,0.29380012
7,10.56609440,0.29380012
8,9.89343929,0.29380012
9,9.08392143,0.29380012
10,7.96031761,0.29380012
11,7.37637043,0.29380012
12,7.11961889,0.29380012
13,6.69050264,0.29380012
14,6.45285749,0.29380012
15,5.87849522,0.29380012
16,4.84958220,0.29380012
17,4.60663748,0.29380012
18,4.29980230,0.29380012
19,4.51516438,0.29380012
20,4.66285896,0.29380012
21,4.44817209,0.29380012
22,4.57987547,0.29380012
23,4.39263296,0.29380012
24,4.13031101,0.29380012
25,3.80894399,0.29380012
26,3.70552754,0.29380012
27,3.31800556,0.29380012
28,3.20542026,0.29380012
29,3.23926640,0.29380012
30,3.10678411,0.29380012
31,3.27571630,0.29380012
32,3.11671805,0.29380012
33,3.25321364,0.29380012
34,3.31670237,0.29380012
35,3.13431931,0.29380012
36,3.09813714,0.29380012
37,2.99319243,0.29380012
38,3.00842476,0.29380012
39,2.78721356,0.29380012
40,2.81596875,0.29380012
41,2.87580752,0.29380012
42,2.99421406,0.29380012
43,2.95485950,0.29380012
44,2.84463143,0.29380012
45,2.71626091,0.29380012
46,2.80167198,0.29380012
47,2.84409237,0.29380012
48,2.78805232,0.29380012
49,2.67291236,0.29380012
50,2.63782191,0.29380012
51,2.70501757,0.29380012
52,2.63871455,0.29380012
53,2.68722868,0.29380012
54,2.62793851,0.29380012
55,2.53577209,0.29380012
56,2.71060562,0.29380012
57,2.72720480,0.29380012
58,2.51955533,0.29380012
59,2.66826272,0.29380012
60,2.55540752,0.29380012
61,2.64563799,0.29380012
62,2.47165036,0.29380012
63,2.48390555,0.29380012
64,2.57800603,0.29380012
65,2.58098602,0.29380012
66,2.49574089,0.29380012
67,2.47610521,0.29380012
68,2.44302487,0.29380012
69,2.41119599,0.29380012
70,2.44825029,0.29380012
71,2.50922298,0.29380012
72,2.43683386,0.29380012
73,2.34330106,0.29380012
74,2.29675913,0.29380012
75,2.42497134,0.29380012
76,2.43610930,0.29380012
77,2.34405327,0.29380012
78,2.31631994,0.29380012
79,2.30747294,0.29380012
80,2.32234979,0.29380012
81,2.32810235,0.29380012
82,2.37555170,0.29380012
83,2.26629567,0.29380012
84,2.29975510,0.29380012
85,2.30792308,0.29380012
86,2.28881812,0.29380012
87,2.27440786,0.29380012
88,2.21191645,0.29380012
89,2.18731236,0.29380012
90,2.22055840,0.29380012
91,2.14383173,0.29380012
92,2.31784344,0.29380012
93,2.21346521,0.29380012
94,2.24204516,0.29380012
95,2.25780392,0.29380012
96,2.13209033,0.29380012
97,2.25932717,0.29380012
98,2.12924719,0.29380012
99,2.16031766,0.29380012
100,2.02665758,0.29380012
101,2.19955277,0.29380012
102,2.13725901,0.29380012
103,2.07700706,0.29380012
104,2.16979456,0.29380012
105,2.17815638,0.29380012
106,2.14871430,0.29380012
107,2.14051342,0.29380012
108,2.17771554,0.29380012
109,1.97545600,0.29380012
110,2.07042480,0.29380012
111,2.14213657,0.29380012
112,2.08873177,0.29380012
113,2.04289412,0.29380012
114,2.08269238,0.29380012
115,2.04864097,0.29380012
116,2.00780916,0.29380012
117,2.12090898,0.29380012
118,2.03117919,0.29380012
119,2.01660657,0.29380012
120,2.00051951,0.29380012
121,1.97781563,0.29380012
122,2.03779054,0.29380012
123,2.01559019,0.29380012
124,1.92079699,0.29380012
125,2.01271057,0.29380012
126,1.96535337,0.29380012
127,2.05290198,0.29380012
128,2.10799003,0.29380012
129,2.05362368,0.29380012
130,1.96516120,0.29380012
131,1.84754324,0.29380012
132,2.00003099,0.29380012
133,2.01878619,0.29380012
134,1.91124296,0.29380012
135,1.97609115,0.29380012
136,1.96902585,0.29380012
137,1.94263661,0.29380012
138,1.93202066,0.29380012
139,1.98571634,0.29380012
140,1.91025853,0.29380012
141,1.90619183,0.29380012
142,1.83715773,0.29380012
143,1.95244420,0.29380012
144,1.86024666,0.29380012
145,1.73229289,0.29380012
146,1.88533878,0.29380012
147,1.81725299,0.29380012
148,1.86686826,0.29380012
149,1.84168911,0.29380012
150,1.83947253,0.29380012
151,1.79871893,0.29380012
152,1.84353256,0.29380012
153,1.82542944,0.29380012
154,1.80614543,0.29380012
155,1.79634500,0.29380012
156,1.76282978,0.29380012
157,1.84103036,0.29380012
158,1.87184346,0.29380012
159,1.79479194,0.29380012
160,1.78749442,0.29380012
161,1.81499505,0.29380012
162,1.79502058,0.29380012
163,1.83179557,0.29380012
164,1.70153368,0.29380012
165,1.71855164,0.29380012
166,1.78741074,0.29380012
167,1.74265862,0.29380012
168,1.77509141,0.29380012
169,1.81068468,0.29380012
170,1.67958534,0.29380012
171,1.72765040,0.29380012
172,1.66831303,0.29380012
173,1.67792749,0.29380012
174,1.70904636,0.29380012
175,1.78290141,0.29380012
176,1.66601634,0.29380012
177,1.74597180,0.29380012
178,1.76202512,0.29380012
179,1.76443005,0.29380012
180,1.70338237,0.29380012
181,1.74412107,0.29380012
182,1.63713408,0.29380012
183,1.74730754,0.29380012
184,1.61382496,0.29380012
185,1.66274023,0.29380012
186,1.60778046,0.29380012
187,1.75492024,0.29380012
188,1.61370623,0.29380012
189,1.63365495,0.29380012
190,1.57837451,0.29380012
191,1.65563393,0.29380012
192,1.60289240,0.29380012
193,1.60798717,0.29380012
194,1.55859351,0.29380012
195,1.62880445,0.29380012
196,1.61914039,0.29380012
197,1.55386615,0.29380012
198,1.59346342,0.29380012
199,1.58370280,0.29380012
200,1.55621183,0.30578357
201,1.59514582,0.30578357
202,1.54267454,0.30578357
203,1.54026306,0.30578357
204,1.52372193,0.30578357
205,1.65001869,0.30578357
206,1.43610609,0.30578357
207,1.58188391,0.30578357
208,1.58213925,0.30578357
209,1.49857521,0.30578357
210,1.48103082,0.30578357
211,1.53782928,0.30578357
212,1.40702915,0.30578357
213,1.50141835,0.30578357
214,1.49697590,0.30578357
215,1.51988041,0.30578357
216,1.42134655,0.30578357
217,1.50755489,0.30578357
218,1.41531670,0.30578357
219,1.51395190,0.30578357
220,1.50458670,0.30578357
221,1.41716313,0.30578357
222,1.51473379,0.30578357
223,1.59241283,0.30578357
224,1.46624112,0.30578357
225,1.44512260,0.30578357
226,1.45372069,0.30578357
227,1.40538287,0.30578357
228,1.48462939,0.30578357
229,1.45411789,0.30578357
230,1.39256859,0.30578357
231,1.48294806,0.30578357
232,1.39028752,0.30578357
233,1.41326129,0.30578357
234,1.38310993,0.30578357
235,1.40668607,0.30578357
236,1.35654581,0.30578357
237,1.33866405,0.30578357
238,1.40725017,0.30578357
239,1.40844810,0.30578357
240,1.39391661,0.30578357
241,1.41555178,0.30578357
242,1.35810483,0.30578357
243,1.37535143,0.30578357
244,1.35357964,0.30578357
245,1.34335184,0.30578357
246,1.41047883,0.30578357
247,1.37907207,0.30578357
248,1.36681700,0.30578357
249,1.36784768,0.30578357
250,1.40761888,0.30578357
251,1.34382701,0.30578357
252,1.30582535,0.30578357
253,1.40486968,0.30578357
254,1.37756658,0.30578357
255,1.32765579,0.30578357
256,1.34159911,0.30578357
257,1.32829654,0.30578357
258,1.32284546,0.30578357
259,1.33318269,0.30578357
260,1.29301929,0.30578357
261,1.31775057,0.30578357
262,1.32529926,0.30578357
263,1.31545341,0.30578357
264,1.28370357,0.30578357
265,1.33371198,0.30578357
266,1.34228182,0.30578357
267,1.25644147,0.30578357
268,1.29203904,0.30578357
269,1.27087629,0.30578357
270,1.28072369,0.30578357
271,1.27498055,0.30578357
272,1.31059718,0.30578357
273,1.27366245,0.30578357
274,1.26257730,0.30578357
275,1.31136894,0.30578357
276,1.24347281,0.30578357
277,1.26185787,0.30578357
278,1.24363470,0.30578357
279,1.25105679,0.30578357
280,1.23293817,0.30578357
281,1.32658863,0.30578357
282,1.24601173,0.30578357
283,1.29816234,0.30578357
284,1.19728935,0.30578357
285,1.27219296,0.30578357
286,1.26069081,0.30578357
287,1.18589306,0.30578357
288,1.16713119,0.30578357
289,1.28919268,0.30578357
290,1.20091248,0.30578357
291,1.21241701,0.30578357
292,1.23827875,0.30578357
293,1.19324756,0.30578357
294,1.20364392,0.30578357
295,1.23117507,0.30578357
296,1.18906140,0.30578357
297,1.18914580,0.30578357
298,1.18733561,0.30578357
299,1.16141868,0.30578357
300,1.15646374,0.30578357
301,1.19480062,0.30578357
302,1.14976394,0.30578357
303,1.17030120,0.30578357
304,1.24117970,0.30578357
305,1.15305281,0.30578357
306,1.12380934,0.30578357
307,1.13109660,0.30578357
308,1.17112684,0.30578357
309,1.13126564,0.30578357
310,1.14645529,0.30578357
311,1.15490746,0.30578357
312,1.18012369,0.30578357
313,1.11580658,0.30578357
314,1.11874819,0.30578357
315,1.15297186,0.30578357
316,1.14739597,0.30578357
317,1.09387803,0.30578357
318,1.13365853,0.30578357
319,1.13911140,0.30578357
320,1.15016842,0.30578357
321,1.09918737,0.30578357
322,1.15058613,0.30578357
323,1.11347389,0.30578357
324,1.09509969,0.30578357
325,1.11811972,0.30578357
326,1.14759231,0.30578357
327,1.08088732,0.30578357
328,1.02801096,0.30578357
329,1.08346033,0.30578357
330,1.09076238,0.30578357
331,1.05310440,0.30578357
332,1.08959866,0.30578357
333,1.03470588,0.30578357
334,1.05196786,0.30578357
335,1.01469827,0.30578357
336,1.05868590,0.30578357
337,1.06013250,0.30578357
338,1.00096214,0.30578357
339,1.03953457,0.30578357
340,1.04744709,0.30578357
341,0.99518871,0.30578357
342,0.99053019,0.30578357
343,1.03032982,0.30578357
344,0.99637604,0.30578357
345,1.08802748,0.30578357
346,1.00723660,0.30578357
347,1.02007377,0.30578357
348,1.03769803,0.30578357
349,1.01981223,0.30578357
350,1.04147530,0.30578357
351,1.02346933,0.30578357
352,1.00237763,0.30578357
353,0.97148722,0.30578357
354,0.91845900,0.30578357
355,0.98404568,0.30578357
356,0.99000180,0.30578357
357,0.93427849,0.30578357
358,0.98090851,0.30578357
359,0.97435671,0.30578357
360,0.92438281,0.30578357
361,0.99939156,0.30578357
362,0.96217692,0.30578357
363,0.93692166,0.30578357
364,0.96282411,0.30578357
365,0.93442041,0.30578357
366,0.91713881,0.30578357
367,0.93104672,0.30578357
368,0.98927844,0.30578357
369,0.88915020,0.30578357
370,0.90265864,0.30578357
371,0.93134546,0.30578357
372,0.92174357,0.30578357
373,0.92463821,0.30578357
374,0.94078678,0.30578357
375,0.94265890,0.30578357
376,0.87937438,0.30578357
377,0.90195918,0.30578357
378,0.91976786,0.30578357
379,0.90708512,0.30578357
380,0.85715377,0.30578357
381,0.92510039,0.30578357
382,0.90163666,0.30578357
383,0.88699323,0.30578357
384,0.87409210,0.30578357
385,0.89292717,0.30578357
386,0.87006181,0.30578357
387,0.87158954,0.30578357
388,0.84833544,0.30578357
389,0.89643198,0.30578357
390,0.87292886,0.30578357
391,0.86639243,0.30578357
392,0.88331145,0.30578357
393,0.85330558,0.30578357
394,0.85216063,0.30578357
395,0.87962359,0.30578357
396,0.86099911,0.30578357
397,0.84485739,0.30578357
